category,s1,s2,label,node_id,neighbour
Literature & Fiction," This third - grade home school reading book , titled ' Sec rets in the Maple Tree ', revol ves around the stories of immigrants from Norway who settled in America in 1 8 2 0 .", Sec rets in the Maple Tree : A Third Grade Home School Reading Book ,0,76634,[41924]
Education & Reference," B aby Professor offers a range of educational subjects for kids , teaching them how to do things themselves , how they ' re done , or how they came to be . With appealing visuals , Baby Prof . provides a strong foundation for children ' s future learning . Em br acing the motto ' Lear ning is Fun , let ' s Make it Fun to Learn ,' this platform aims to make learning enjoyable .", B aby Professor : Fun Spanish Learning Games and Books for Children ,12,58818,"[9850, 10587, 12820, 58871, 73447]"
Literature & Fiction,,,0,17160,"[16961, 16980, 16989, 17033, 17034, 17042, 17043, 17055, 17109, 17112, 17125, 17134, 17136, 17156, 17161, 17170, 17176, 17196, 17197, 17383, 17442, 17927, 22112, 22143, 22162, 22167, 22223, 24174, 24476, 24517, 48225]"
Animals," Pre School - K — Cat the Cat visits her friends , asking them to make their sounds . The dog wo of s , the chick pe eps , the cow mo os , but the bun ny is silent . As Bun ny the Bun ny makes no response , the others look at him with sympathy and say in un ison , ' s ounds like … some body needs a hug !' On the one hand , the message seems to be that even if you are different , your friends still love you . On the other hand , an underlying message is that if you are different , your friends will feel sorry for you . The illustrations are character istically spare with flat , un sh aded colors outlined in black . Repe ated use of a pale green background ties the whole book together nicely . W ille ms relies on facial expressions and body post uring to convey humor with minimal detail . A secondary story line involves the animals preparing for a tea party . Children will enjoy making animal sounds and laughing at his silly humor . However , the underlying message that differences may el icit pity is an unfortunate flaw ."," What ' s Your Sound , H ound the H ound ? ( Cat the Cat Series )",1,2680,"[2661, 2664, 2665, 2828, 2959, 3205, 3350, 3692, 3701, 3702, 3764, 15096, 19306, 21759, 25966, 26566, 34887, 34950, 34954, 34970, 34976, 45991, 46000, 48908, 48962, 48996, 48998, 49001, 49003, 49023, 49042, 49086, 49088, 49091, 49131, 49138, 49193, 49257, 49259, 49267, 49304, 51597, 54975, 55832, 55840, 55846, 55852, 55861, 55869, 55875, 55884, 55896, 55930, 68210]"
Literature & Fiction," This engaging book for 8 - 1 2 year old s presents a fictional family ' s journey through three centuries of American history , offering a fun and informative read . It highlights the role of God in shaping individuals ' lives and the nation ' s events .", D ream Se ek ers : Roger Williams ' Stand for Freedom ( The American Adventure Series # 3 ),0,61891,"[4437, 61874, 61875, 61876, 61877, 61878, 61879, 61880, 61882, 61883, 61885, 61886, 61887, 61888, 61894, 61895]"
Biographies," Cl ay ton Geoff re ys , born and raised in Nor walk , Connecticut , often spent after no ons reading about management techniques and leadership styles in the local public library . His passion for learning about productive lives led him to write a book , Kevin Love : The Insp iring Story of One of Basketball ' s Domin ant Power For wards . Geoff re ys also pens sports - related works on influential athletes like Steve Nash , Stephen Curry , Vince Carter , H ake em Ol aj u won , John Wall , Russell West brook , Tim Duncan , Regg ie Miller , Allen I vers on , and Karl Mal one . His other book , 8 8 Product ivity H acks , offers habits to beat stress , achieve goals , and live a fulfilling life .", Ke vin Love : The Insp iring Story of One of Basketball ' s Domin ant Power For wards ( B asket ball Biography Books ),17,57168,[54032]
"Activities, Crafts & Games"," For over 2 0 years , I served as a teacher in Thailand , investing in my students and fellow educators . Once I had a family of my own , I reflected on the importance of my child ' s education . Our son was exposed to books from a young age , growing up in a home where reading was a beloved activity . Daily readings from our collection of picture and story books continue into his adul thood . This experience motivated me to create a b ilingual ( Th ai and English ) children ' s book , J J A Cur ious Boy . My goal is to not only provide an engaging read but also preserve the Thai language and support English language development among Thai children .", J J - A Cur ious Boy ( Th ai Edition ),6,57087,"[32301, 36707, 51101, 56672, 73978]"
Growing Up & Facts of Life," Hello Night / H ola N oche is a so othing b ilingual book that follows a mother and her son on a night time stroll . They greet the night , ow ls , cr ickets , stars , and more . The story ends with the pair retiring to bed , preparing for sleep . The acrylic illustrations are dream like and inviting , while the brief rh ym ing sentences flow across the artwork . This book is a perfect bed time story for children and is recommended for libraries and book st ores .", Hello Night / H ola N oche B ilingual ( Mult ilingual Edition ),2,41056,[21002]
Literature & Fiction,,,0,6268,"[566, 673, 1393, 1728, 2372, 2426, 3443, 3446, 4722, 4733, 4739, 4747, 4756, 4793, 4807, 5294, 5313, 5570, 5614, 5647, 5672, 5728, 5865, 5902, 5947, 6007, 6016, 6049, 6059, 6140, 6242, 6258, 6293, 6349, 6410, 6458, 6471, 6566, 6583, 6722, 10583, 12641, 13759, 13890, 15198, 15203, 17980, 18017, 18022, 18072, 18082, 18164, 18198, 18203, 18218, 18706, 18891, 18993, 19175, 19210, 19345, 20300, 26383, 27364, 27372, 27593, 27780, 29006, 33088, 49977, 54672, 56791, 56823, 58990, 61712, 61739, 69512]"
"Science, Nature & How It Works", Ex pl ore the wonders of astron omy with your children through our engaging and informative books .," The Moon , the Sun and the Const ell ations : Begin ner ' s Astron omy Lessons for Kids - Children ' s Astron omy & Space Books ",15,70149,[69935]
