category,text,label,node_id,neighbour
Growing Up & Facts of Life,"Description: Wanting to make a birthday cake, a youngster asks various animals to provide the ingredients, and they do . . . The soft watercolor illustrations are warm and gently humorous . . . A charming addition to preschool story times.School Library Journal; Title: It's My Birthday",2,32949,"[7443, 9866, 12078, 12378, 13024, 13468, 13521, 14695, 15205, 15841, 16722, 18956, 19205, 20815, 21500, 22031, 22284, 23822, 23946, 25754, 27481, 27491, 27501, 27530, 27536, 28952, 29293, 32828, 33246, 33340, 34003, 39727, 40295, 40718, 47738, 48028, 48346, 52737, 54480, 55346, 56405, 57710, 58097, 58458, 60747, 62435, 65020, 68169, 68189, 69421, 69437, 74057, 75638]"
History,"Description: Misti Kenisonis a web/graphic designer and owner of MK Design. As a mom, she believes strongly in encouraging literacy at a very young age, and hopes that this series will be a great tool for other parents to do so as well. She lives in Little Rock, Arkansas, with her husband and two children.; Title: Cheer Up, Ben Franklin! (Young Historians)",18,56448,"[1585, 9481, 10055, 11555, 12641, 13832, 18455, 20796, 20817, 23816, 23822, 23825, 23852, 39755, 43445, 43448, 45395, 45403, 49124, 49342, 49360, 49370, 49389, 49391, 49392, 49393, 49399, 49401, 49425, 49427, 49428, 49430, 49701, 50057, 52573, 52667, 55126, 55244, 55345, 56466, 56468, 56476, 56480, 56489, 56499, 56500, 56505, 56516, 56517, 56519, 56521, 56525, 56526, 56681, 56970, 57445, 57447, 58127, 58163, 58211, 58461, 62356, 62376, 62461, 62466, 62474, 65183, 66075, 68996, 71778, 75453]"
Religions,"Description: Sally Lloyd-Jones is a leading writer of inspirational books for children, with an expertise in conveying biblical truth to young children. She is the author of three bestselling children's Bibles, including the Gold Book Award-winning Baby's First Bible and, most recently, the Moonbeam Award Winner---The Jesus Storybook Bible. She has written many picture books for children, including Handbag Friends, Time to Say Goodnight and the critically acclaimed, How to Be a Baby: By Me, the Big Sister. A native of England, Sally lives in New York City and can be found at www.sallylloyd-jones.com. SPANI; Title: Childs First Bible",20,72103,"[2529, 8874, 9238, 9316, 9422, 9515, 57330]"
Growing Up & Facts of Life,"Description: Mij Kelly is the author of two more Suzy Sue stories, both available in North America from Barron's.; Title: A Bed of Your Own",2,34165,"[1359, 2801, 8261, 8270, 8526, 11926, 12903, 13754, 13874, 14557, 24779, 25746, 25962, 26987, 28390, 29280, 32828, 33756, 34190, 34236, 43424, 43897, 44038, 44526, 44552, 44620, 52545, 52650, 52674, 53988, 53991, 54225, 54258, 54260, 56023, 61410, 61645, 61647, 61648, 69461, 73839]"
"Activities, Crafts & Games","Description: Elizabeth Encarnacion is an author and book editor who has written many books for children, including The Girls Guide to Campfire Activities, Fabulous Fun Foam Book &amp; Kit, a novelization of the classic TV special Rudolph the Red-Nosed Reindeer. the four-book Buildings at Work series, and four titles in the My Little Chalkboard series. She is also the co-author of The Jimmy Buffett Concert Handbook for adults.; Title: Cat's Cradle &amp; Other Fantastic String Figures: Over 20 String Games. [BURST] Includes DVD and 2 Strings",6,66265,"[61105, 61106]"
Geography & Cultures,"Description: The author and artist teamed for Buzz return for this carefully honed story about a girl's experience as a first-generation Chinese-American. Readers first encounter the unnamed narrator as she looks unhappily out the glass door of her parents' market, open for business even on the Fourth of July. Hearing the ""boom, boom, boom"" of the approaching parade, sniffing the apple pie baking in a neighbor's oven, she is distracted by the cooking smells from the store's kitchen, where her parents are preparing chow mein and sweet-and-sour pork. ""No one wants Chinese food on the Fourth of July,"" she tries to explain, and her prediction seems right as the afternoon lengthily unfolds with almost no customers. ""My parents do not understand all American things,"" she reminds herself, ""They were not born here."" But the evening brings a steady stream of patrons, and the holiday concludes with the family watching fireworks (invented by the Chinese) and eating what else? apple pie. The well-paced text heavily freighted at the beginning and swift by the end reflects the girl's changing emotions and moods. The art resembles cut-paper collage. Chodos-Irvine deploys sharply defined objects in a range of colors and patterns to construct harmonious, forthright compositions that will likely prove inviting to readers of many backgrounds. Ages 3-7. Copyright 2002 Cahners Business Information, Inc.Kindergarten-Grade 2-This simply told story explores a child's fears about cultural differences and fitting in with understanding and affection. A Chinese-American girl helps her parents open their small neighborhood grocery store every day of the year. However, today is the Fourth of July and her parents just don't understand that customers won't be ordering chow mein and sweet-and-sour pork on this very American holiday. As she spends the day working in the store and watching the local parade, she can't shake her anxiety about her parents' navet. When evening arrives along with hungry customers looking ""for some Chinese food to go,"" she is surprised but obviously proud that her parents were right after all: Americans do eat Chinese food on the Fourth of July. Nighttime finds the family atop their roof enjoying fireworks and sharing a neighbor's apple pie. Done in a ""variety of printmaking techniques,"" Chodos-Irvine's illustrations are cheerfully bright and crisp, capturing the spirit of the day as well as the changing emotions of the main character. This second successful collaboration by the creators of Buzz (Harcourt, 2000) is one you won't want to miss.Alicia Eames, New York City Public SchoolsCopyright 2002 Cahners Business Information, Inc.; Title: Apple Pie Fourth of July (Avenues)",11,7320,"[2729, 2822, 5477, 5497, 5862, 7011, 9439, 12190, 12269, 12862, 13705, 15049, 15530, 15915, 16061, 17283, 17371, 18468, 18483, 18520, 19399, 19538, 20709, 21372, 21429, 22084, 22961, 24247, 24976, 25152, 25754, 26871, 27715, 28193, 33591, 34984, 35988, 36459, 37165, 37546, 39391, 39418, 39755, 40517, 43301, 43379, 46687, 48591, 49080, 52649, 52930, 53782, 54383, 55567, 57698, 57873, 62259, 62859, 63184, 65178, 68040, 70587, 72448, 73082, 74678, 74707]"
Literature & Fiction,"Description: ""A first-rate thriller.... This satisfying novel will keep readers guessing until the end"".-- School Library JournalAvalanche!Molly can't wait to visit her aunt and uncle on their ranch in Washington. But as soon as she arrives, things start to go very wrong. Her cousin Glendon hates her on sight. Her aunt falls into a mysterious coma in the middle of the night and is rushed to the hospital. Then, left alone on the huge property, Molly and Glendon discover an intruder lurking in the barn! Armed and desperate, he drags them to the top of a nearby mountain -- and triggers an avalanche with a gunshot. There's no one to hear the cousins -- and no one to save them. Can they make it down the mountain alive? And who's waiting for them at the bottom?; Title: Nightmare Mountain",0,5669,"[5323, 5645, 5749, 5870, 6123, 6149, 6180, 6330, 6347, 6355, 6501, 6539, 6825, 6888, 6899, 14474, 16991, 25921, 25922, 25945, 51436, 54826, 55332]"
Religions,"Description: Juliet David has written many childrens stories and Bible activity books. Her other interests include painting, music, and travel to Israel and other Bible lands. This experienced author lives in London with her family.; Title: Lift the Flap Nativity",20,39964,[69437]
Geography & Cultures,"Description: ""It is the masterful blend of information with universal family moments that makes this title such a welcome addition."" (School Library Journal)""A reader-friendly introduction to the holiday."" (Booklist)Diane Hoyt-Goldsmith is the art director of Square Moon Productions, a book design and development company. She lives with her husband, a son, and a daughter in Orinda, California.; Title: Cinco de Mayo",11,39371,[20607]
Education & Reference,Description: Houghton Mifflin Spelling: Hardcover Student Edition Level 5 1998; Title: Houghton Mifflin Spelling: Hardcover Student Edition Level 5 1998,12,15623,"[15605, 25077, 25184, 25187]"
